Area,Year,Area_Value,Yield_Value
Afghanistan,2018,2481517.0,2198760.0
Afghanistan,2019,3395020.0,2293403.0
Afghanistan,2020,3868814.0,2326728.0
Albania,2018,294531.0,9650880.0
Albania,2019,290600.0,9591621.0
Albania,2020,291558.0,9693461.0
Algeria,2018,4693780.0,7202588.0
Algeria,2019,4799891.0,7298141.0
Algeria,2020,4495146.0,7328356.0
Angola,2018,6043774.0,1565143.0
Angola,2019,6129801.0,1562712.0
Angola,2020,5767525.0,1575915.0
Antigua and Barbuda,2018,2547.0,1254152.0
Antigua and Barbuda,2019,2514.0,1265233.0
Antigua and Barbuda,2020,2262.0,1573371.0
Argentina,2018,36135622.0,7059624.0
Argentina,2019,36785290.0,7075780.0
Argentina,2020,38103173.0,7002385.0
Armenia,2018,234849.0,4137372.0
Armenia,2019,218425.0,4078910.0
Armenia,2020,222378.0,4251368.0
Australia,2018,24129459.0,12827708.0
Australia,2019,21822432.0,13603935.0
Australia,2020,20854419.0,13707130.0
Austria,2018,1088445.0,18084709.0
Austria,2019,1079570.0,15009677.0
Austria,2020,1074950.0,16356361.0
Azerbaijan,2018,1560345.0,5365892.0
Azerbaijan,2019,1527666.0,5615276.0
Azerbaijan,2020,1438288.0,5863453.0
Bahamas,2018,9313.0,4108202.0
Bahamas,2019,9438.0,4079328.0
Bahamas,2020,9570.0,4078653.0
Bahrain,2018,3892.0,7350550.0
Bahrain,2019,3936.0,7366708.0
Bahrain,2020,3902.0,7185209.0
Bangladesh,2018,16288349.0,4212509.0
Bangladesh,2019,16519814.0,3994151.0
Bangladesh,2020,16580555.0,4102722.0
Barbados,2018,6226.0,3513301.0
Barbados,2019,6276.0,3304396.0
Barbados,2020,5292.0,3392642.0
Belarus,2018,3252096.0,3690434.0
Belarus,2019,3352998.0,3763227.0
Belarus,2020,3420387.0,3890030.0
Belgium,2018,573320.0,52207712.0
Belgium,2019,582170.0,53114762.0
Belgium,2020,576650.0,51358970.0
Belize,2018,107200.0,4257725.0
Belize,2019,107244.0,3923166.0
Belize,2020,115817.0,3081757.0
Benin,2018,3998042.0,2124026.0
Benin,2019,4186326.0,2241005.0
Benin,2020,4105917.0,2149852.0
Bhutan,2018,75052.0,3262529.0
Bhutan,2019,69882.0,3407682.0
Bhutan,2020,66822.0,3323513.0
Bolivia (Plurinational State of),2018,3864898.0,3775315.0
Bolivia (Plurinational State of),2019,3943689.0,3807902.0
Bolivia (Plurinational State of),2020,3947570.0,3802833.0
Bosnia and Herzegovina,2018,698699.0,3072998.0
Bosnia and Herzegovina,2019,639222.0,3097663.0
Bosnia and Herzegovina,2020,693657.0,3139622.0
Botswana,2018,203807.0,3255271.0
Botswana,2019,106069.0,3131928.0
Botswana,2020,220269.0,3288197.0
Brazil,2018,78512374.0,8265921.0
Brazil,2019,81313893.0,8302482.0
Brazil,2020,83807091.0,8333366.0
Brunei Darussalam,2018,14243.0,1518391.0
Brunei Darussalam,2019,14185.0,1521370.0
Brunei Darussalam,2020,14114.0,1529228.0
Bulgaria,2018,3020827.0,5304538.0
Bulgaria,2019,3054521.0,4418406.0
Bulgaria,2020,3050130.0,5604175.0
Burkina Faso,2018,7616376.0,2712483.0
Burkina Faso,2019,7763149.0,2681776.0
Burkina Faso,2020,7777316.0,2686709.0
Burundi,2018,2091613.0,1699932.0
Burundi,2019,2427529.0,1823231.0
Burundi,2020,2163433.0,1870410.0
C?te d'Ivoire,2018,,3839305.0
C?te d'Ivoire,2019,,3871795.0
C?te d'Ivoire,2020,,3907464.0
Cabo Verde,2018,67250.0,3332356.0
Cabo Verde,2019,66708.0,4302703.0
Cabo Verde,2020,67796.0,3260608.0
Cambodia,2018,4319701.0,1824184.0
Cambodia,2019,4224954.0,1832874.0
Cambodia,2020,4224958.0,1843372.0
Cameroon,2018,6815544.0,3525909.0
Cameroon,2019,6948975.0,3523561.0
Cameroon,2020,7013150.0,3523833.0
Canada,2018,30922616.0,7709040.0
Canada,2019,30547850.0,7774854.0
Canada,2020,30973990.0,7699974.0
Central African Republic,2018,1004889.0,1005526.0
Central African Republic,2019,990026.0,1009776.0
Central African Republic,2020,1000305.0,1008180.0
Chad,2018,5196888.0,1832775.0
Chad,2019,5192023.0,1846734.0
Chad,2020,5184720.0,1847656.0
Chile,2018,1243731.0,10566871.0
Chile,2019,1194819.0,10918775.0
Chile,2020,1163444.0,11063261.0
"China, Hong Kong SAR",2018,2110.0,2727642.0
"China, Hong Kong SAR",2019,2116.0,2728155.0
"China, Hong Kong SAR",2020,2114.0,2732096.0
"China, Macao SAR",2018,128.0,16797.0
"China, Macao SAR",2019,128.0,16875.0
"China, Macao SAR",2020,128.0,16953.0
"China, Taiwan Province of",2018,701648.0,14198803.0
"China, Taiwan Province of",2019,678409.0,13917277.0
"China, Taiwan Province of",2020,666302.0,14455468.0
"China, mainland",2018,180136622.0,17297961.0
"China, mainland",2019,179552287.0,17444266.0
"China, mainland",2020,179847922.0,17666919.0
Colombia,2018,4177803.0,8714395.0
Colombia,2019,4262688.0,8789499.0
Colombia,2020,4364910.0,8590515.0
Comoros,2018,111480.0,758443.0
Comoros,2019,110654.0,760751.0
Comoros,2020,109526.0,759919.0
Congo,2018,385500.0,3118962.0
Congo,2019,389818.0,3117274.0
Congo,2020,397159.0,3120629.0
Cook Islands,2018,1596.0,1473372.0
Cook Islands,2019,1586.0,1478530.0
Cook Islands,2020,1592.0,1537478.0
Costa Rica,2018,490166.0,7825509.0
Costa Rica,2019,478395.0,7250146.0
Costa Rica,2020,468860.0,7731604.0
Croatia,2018,741350.0,5599555.0
Croatia,2019,756970.0,5701207.0
Croatia,2020,815570.0,6773542.0
Cuba,2018,1402357.0,4152245.0
Cuba,2019,1402347.0,3904564.0
Cuba,2020,1154951.0,3700054.0
Cyprus,2018,56360.0,8160484.0
Cyprus,2019,55716.0,8137060.0
Cyprus,2020,64410.0,8152191.0
Czechia,2018,1995630.0,4627824.0
Czechia,2019,1967450.0,5220205.0
Czechia,2020,1960450.0,5078803.0
Côte d'Ivoire,2018,12876225.0,
Côte d'Ivoire,2019,13528111.0,
Côte d'Ivoire,2020,14119604.0,
Democratic People's Republic of Korea,2018,2538006.0,2076607.0
Democratic People's Republic of Korea,2019,2651904.0,2112974.0
Democratic People's Republic of Korea,2020,2700422.0,2081652.0
Democratic Republic of the Congo,2018,13031107.0,3332522.0
Democratic Republic of the Congo,2019,13182351.0,3333574.0
Democratic Republic of the Congo,2020,13060629.0,3330777.0
Denmark,2018,1691800.0,10467787.0
Denmark,2019,1662150.0,11159516.0
Denmark,2020,1650640.0,11616115.0
Djibouti,2018,12355.0,106948.0
Djibouti,2019,12387.0,105953.0
Djibouti,2020,12418.0,105742.0
Dominica,2018,26683.0,2667054.0
Dominica,2019,26594.0,2699828.0
Dominica,2020,26661.0,2698528.0
Dominican Republic,2018,1037966.0,7098707.0
Dominican Republic,2019,1050809.0,7108633.0
Dominican Republic,2020,1089560.0,7218559.0
Ecuador,2018,2162963.0,4724573.0
Ecuador,2019,2165643.0,4555410.0
Ecuador,2020,2212267.0,4768119.0
Egypt,2018,4898090.0,12128380.0
Egypt,2019,5946087.0,12015407.0
Egypt,2020,5924160.0,12055742.0
El Salvador,2018,718204.0,6856750.0
El Salvador,2019,706464.0,6645216.0
El Salvador,2020,756815.0,6585381.0
Equatorial Guinea,2018,94744.0,368655.0
Equatorial Guinea,2019,94399.0,367520.0
Equatorial Guinea,2020,94714.0,366776.0
Eritrea,2018,643777.0,251493.0
Eritrea,2019,643770.0,250924.0
Eritrea,2020,643675.0,251683.0
Estonia,2018,480600.0,2275182.0
Estonia,2019,491590.0,2049722.0
Estonia,2020,503040.0,2349327.0
Eswatini,2018,194693.0,2244212.0
Eswatini,2019,180427.0,2255971.0
Eswatini,2020,173130.0,2266226.0
Ethiopia,2018,15249614.0,3817094.0
Ethiopia,2019,15276603.0,3787477.0
Ethiopia,2020,15702587.0,3719111.0
Faroe Islands,2018,104.0,146827.0
Faroe Islands,2019,104.0,147115.0
Faroe Islands,2020,104.0,147404.0
Fiji,2018,61951.0,4136330.0
Fiji,2019,63660.0,4304903.0
Fiji,2020,71516.0,3702204.0
Finland,2018,1041470.0,11286969.0
Finland,2019,1056620.0,12420050.0
Finland,2020,1062050.0,12185245.0
France,2018,13667373.0,11341896.0
France,2019,13567660.0,11325224.0
France,2020,13366510.0,10428800.0
French Polynesia,2018,26320.0,3875216.0
French Polynesia,2019,26661.0,3890437.0
French Polynesia,2020,26685.0,3888006.0
Gabon,2018,281060.0,1424404.0
Gabon,2019,283225.0,1424712.0
Gabon,2020,284169.0,1424529.0
Gambia,2018,310416.0,368855.0
Gambia,2019,376707.0,360641.0
Gambia,2020,376751.0,372606.0
Georgia,2018,343975.0,2353870.0
Georgia,2019,348780.0,2320904.0
Georgia,2020,380656.0,2403983.0
Germany,2018,8553289.0,12985621.0
Germany,2019,8437140.0,13338741.0
Germany,2020,8248670.0,13584569.0
Ghana,2018,7729215.0,3717171.0
Ghana,2019,7946062.0,3703737.0
Ghana,2020,7886637.0,3747237.0
Greece,2018,2655010.0,10982546.0
Greece,2019,2548460.0,10713820.0
Greece,2020,2313080.0,10501857.0
Grenada,2018,11332.0,2617198.0
Grenada,2019,10163.0,2614370.0
Grenada,2020,9528.0,2612269.0
Guatemala,2018,2623706.0,7831911.0
Guatemala,2019,2577440.0,7894773.0
Guatemala,2020,2643582.0,7945996.0
Guinea,2018,5594245.0,1610112.0
Guinea,2019,5815725.0,1625527.0
Guinea,2020,5991190.0,1750093.0
Guinea-Bissau,2018,573037.0,1260469.0
Guinea-Bissau,2019,583584.0,1261048.0
Guinea-Bissau,2020,581403.0,1264796.0
Guyana,2018,225831.0,14057817.0
Guyana,2019,232181.0,15863564.0
Guyana,2020,245232.0,17977349.0
Haiti,2018,1654409.0,3291384.0
Haiti,2019,1161971.0,3312717.0
Haiti,2020,1159023.0,3321183.0
Honduras,2018,1363000.0,8128269.0
Honduras,2019,1294295.0,8247733.0
Honduras,2020,1233760.0,8406425.0
Hungary,2018,3648640.0,7344835.0
Hungary,2019,3649440.0,7366873.0
Hungary,2020,3560430.0,7717338.0
Iceland,2018,2136.0,10787970.0
Iceland,2019,2851.0,11508794.0
Iceland,2020,1963.0,10435305.0
India,2018,202629315.0,6851268.0
India,2019,199743872.0,6817500.0
India,2020,210550929.0,6865864.0
Indonesia,2018,47866815.0,9140773.0
Indonesia,2019,45924484.0,9193666.0
Indonesia,2020,46128129.0,9257987.0
Iran (Islamic Republic of),2018,12371165.0,11566092.0
Iran (Islamic Republic of),2019,14394018.0,11784835.0
Iran (Islamic Republic of),2020,13756384.0,11819923.0
Iraq,2018,1442689.0,3558215.0
Iraq,2019,3258810.0,3570470.0
Iraq,2020,4167122.0,3750682.0
Ireland,2018,292890.0,12053113.0
Ireland,2019,297650.0,12356643.0
Ireland,2020,303530.0,12367120.0
Israel,2018,299347.0,12501843.0
Israel,2019,293948.0,15200663.0
Israel,2020,315513.0,16677397.0
Italy,2018,6489480.0,9009135.0
Italy,2019,6447660.0,9446782.0
Italy,2020,6396060.0,10079358.0
Jamaica,2018,116383.0,5924355.0
Jamaica,2019,112144.0,5815158.0
Jamaica,2020,108063.0,5796099.0
Japan,2018,2839499.0,10723654.0
Japan,2019,2827516.0,11059642.0
Japan,2020,2811503.0,10886700.0
Jordan,2018,173860.0,12538693.0
Jordan,2019,186391.0,12248929.0
Jordan,2020,178494.0,12246645.0
Kazakhstan,2018,19008746.0,6139520.0
Kazakhstan,2019,19029070.0,6209703.0
Kazakhstan,2020,19377294.0,6326029.0
Kenya,2018,6062888.0,6498956.0
Kenya,2019,6208010.0,6642317.0
Kenya,2020,5983511.0,7369839.0
Kiribati,2018,29475.0,477689.0
Kiribati,2019,33494.0,472830.0
Kiribati,2020,27695.0,483209.0
Kuwait,2018,10593.0,11493318.0
Kuwait,2019,11669.0,12820280.0
Kuwait,2020,12165.0,12326353.0
Kyrgyzstan,2018,962757.0,4681902.0
Kyrgyzstan,2019,955096.0,4699602.0
Kyrgyzstan,2020,954441.0,4742161.0
Lao People's Democratic Republic,2018,1644032.0,3750790.0
Lao People's Democratic Republic,2019,1593275.0,3691198.0
Lao People's Democratic Republic,2020,1692749.0,3771855.0
Latvia,2018,874970.0,2153870.0
Latvia,2019,932540.0,1749187.0
Latvia,2020,959700.0,2785248.0
Lebanon,2018,261928.0,8440458.0
Lebanon,2019,260957.0,7880419.0
Lebanon,2020,257306.0,7812453.0
Lesotho,2018,260205.0,350500.0
Lesotho,2019,67976.0,352002.0
Lesotho,2020,134038.0,358329.0
Liberia,2018,589858.0,1176895.0
Liberia,2019,590894.0,1174065.0
Liberia,2020,637723.0,1177034.0
Libya,2018,864616.0,3869578.0
Libya,2019,791534.0,3858481.0
Libya,2020,777808.0,3876245.0
Lithuania,2018,1726130.0,4970043.0
Lithuania,2019,1811460.0,5250247.0
Lithuania,2020,1879500.0,5611335.0
Luxembourg,2018,32510.0,3180094.0
Luxembourg,2019,33100.0,3017505.0
Luxembourg,2020,31050.0,3160869.0
Madagascar,2018,3142349.0,2621375.0
Madagascar,2019,3319420.0,2628983.0
Madagascar,2020,3299069.0,2631511.0
Malawi,2018,4401592.0,6089311.0
Malawi,2019,4538593.0,5929541.0
Malawi,2020,4638917.0,6272701.0
Malaysia,2018,7409214.0,5382845.0
Malaysia,2019,7429062.0,5231254.0
Malaysia,2020,7410536.0,5280333.0
Maldives,2018,3986.0,1121942.0
Maldives,2019,4088.0,1151726.0
Maldives,2020,4183.0,1175650.0
Mali,2018,8311935.0,6072155.0
Mali,2019,8250964.0,6053198.0
Mali,2020,7905435.0,6058182.0
Malta,2018,1110.0,233509.0
Malta,2019,1110.0,207433.0
Malta,2020,1020.0,204397.0
Marshall Islands,2018,6784.0,28302.0
Marshall Islands,2019,7074.0,27453.0
Marshall Islands,2020,6771.0,34060.0
Mauritania,2018,413557.0,421299.0
Mauritania,2019,386120.0,423435.0
Mauritania,2020,434894.0,426285.0
Mauritius,2018,57510.0,3694687.0
Mauritius,2019,54936.0,3831265.0
Mauritius,2020,53369.0,3673384.0
Mexico,2018,16071706.0,14439625.0
Mexico,2019,15176080.0,14391274.0
Mexico,2020,16068089.0,14258087.0
Micronesia (Federated States of),2018,21282.0,455606.0
Micronesia (Federated States of),2019,21260.0,455958.0
Micronesia (Federated States of),2020,20458.0,455650.0
Mongolia,2018,406185.0,858078.0
Mongolia,2019,447558.0,694424.0
Mongolia,2020,436913.0,950393.0
Montenegro,2018,14405.0,4824550.0
Montenegro,2019,14287.0,4717378.0
Montenegro,2020,13482.0,4713385.0
Morocco,2018,7062116.0,12290784.0
Morocco,2019,6137197.0,12186169.0
Morocco,2020,6919511.0,11430926.0
Mozambique,2018,6462055.0,2461350.0
Mozambique,2019,6629935.0,2468719.0
Mozambique,2020,7203133.0,2476944.0
Myanmar,2018,17001772.0,2295774.0
Myanmar,2019,17144613.0,2314429.0
Myanmar,2020,16974993.0,2332972.0
Namibia,2018,385783.0,1873872.0
Namibia,2019,206018.0,1839620.0
Namibia,2020,627382.0,1876755.0
Nauru,2018,426.0,205055.0
Nauru,2019,425.0,206547.0
Nauru,2020,426.0,207001.0
Nepal,2018,4813635.0,3721813.0
Nepal,2019,4884879.0,3814361.0
Nepal,2020,4877475.0,3829234.0
Netherlands,2018,533710.0,76629985.0
Netherlands,2019,546620.0,72325813.0
Netherlands,2020,539800.0,70459350.0
New Caledonia,2018,17245.0,809046.0
New Caledonia,2019,17861.0,790330.0
New Caledonia,2020,17833.0,792966.0
New Zealand,2018,262609.0,12569184.0
New Zealand,2019,265621.0,12127469.0
New Zealand,2020,253592.0,12166257.0
Nicaragua,2018,1025686.0,5029708.0
Nicaragua,2019,1059741.0,4885772.0
Nicaragua,2020,1084446.0,5052051.0
Niger,2018,18576463.0,4427929.0
Niger,2019,18069655.0,4803624.0
Niger,2020,17867968.0,4975431.0
Nigeria,2018,59421915.0,1963494.0
Nigeria,2019,60760838.0,1967294.0
Nigeria,2020,60836992.0,1961347.0
Niue,2018,5332.0,441481.0
Niue,2019,5353.0,440711.0
Niue,2020,5420.0,439838.0
North Macedonia,2018,336315.0,5572083.0
North Macedonia,2019,330603.0,5458498.0
North Macedonia,2020,333062.0,5616045.0
Norway,2018,309570.0,7800435.0
Norway,2019,303875.0,7770322.0
Norway,2020,324511.0,8717269.0
Oman,2018,60128.0,11050616.0
Oman,2019,60417.0,11023650.0
Oman,2020,66648.0,11874259.0
Pakistan,2018,20731652.0,5247146.0
Pakistan,2019,20995110.0,5346330.0
Pakistan,2020,21128303.0,5545697.0
Palestine,2018,113424.0,10646049.0
Palestine,2019,112226.0,10689033.0
Palestine,2020,110666.0,10670361.0
Panama,2018,297866.0,4717707.0
Panama,2019,301472.0,4662519.0
Panama,2020,298777.0,4681514.0
Papua New Guinea,2018,1086154.0,2230685.0
Papua New Guinea,2019,1089562.0,2236693.0
Papua New Guinea,2020,1103460.0,2211612.0
Paraguay,2018,5853085.0,4765512.0
Paraguay,2019,6024948.0,4785713.0
Paraguay,2020,6129492.0,4959216.0
Peru,2018,3427633.0,10128005.0
Peru,2019,3448752.0,10183845.0
Peru,2020,3352895.0,10448484.0
Philippines,2018,14553525.0,5093054.0
Philippines,2019,14372441.0,5081171.0
Philippines,2020,14506273.0,5107969.0
Poland,2018,10031810.0,6378956.0
Poland,2019,10164930.0,13749731.0
Poland,2020,9706760.0,13633862.0
Portugal,2018,1088900.0,10858427.0
Portugal,2019,1158674.0,11171677.0
Portugal,2020,1162548.0,9791290.0
Puerto Rico,2018,19803.0,5694629.0
Puerto Rico,2019,19938.0,5680570.0
Puerto Rico,2020,19753.0,5701673.0
Qatar,2018,5239.0,3458435.0
Qatar,2019,5104.0,3609630.0
Qatar,2020,5635.0,3804169.0
Republic of Korea,2018,1488502.0,10354638.0
Republic of Korea,2019,1470341.0,10734802.0
Republic of Korea,2020,1442112.0,10492881.0
Republic of Moldova,2018,1713928.0,2889456.0
Republic of Moldova,2019,1689431.0,2821037.0
Republic of Moldova,2020,1542108.0,2165514.0
Romania,2018,7865560.0,7469239.0
Romania,2019,8146140.0,6935467.0
Romania,2020,8106600.0,6759846.0
Russian Federation,2018,61662935.0,4619969.0
Russian Federation,2019,63134671.0,4885348.0
Russian Federation,2020,64096153.0,4913402.0
Rwanda,2018,2114329.0,2957582.0
Rwanda,2019,2171204.0,2575142.0
Rwanda,2020,2236158.0,2554282.0
Saint Kitts and Nevis,2018,1483.0,1028579.0
Saint Kitts and Nevis,2019,1485.0,1029475.0
Saint Kitts and Nevis,2020,1459.0,1103623.0
Saint Lucia,2018,5123.0,4758553.0
Saint Lucia,2019,4976.0,4618288.0
Saint Lucia,2020,4762.0,4395027.0
Saint Vincent and the Grenadines,2018,11378.0,3594266.0
Saint Vincent and the Grenadines,2019,11556.0,3626863.0
Saint Vincent and the Grenadines,2020,11541.0,3745708.0
Samoa,2018,45085.0,1772036.0
Samoa,2019,41582.0,1801593.0
Samoa,2020,44310.0,1783691.0
Sao Tome and Principe,2018,40422.0,1413585.0
Sao Tome and Principe,2019,39925.0,1430107.0
Sao Tome and Principe,2020,41756.0,1430489.0
Saudi Arabia,2018,529257.0,4392047.0
Saudi Arabia,2019,549682.0,4900011.0
Saudi Arabia,2020,588334.0,4426980.0
Senegal,2018,3541870.0,4550109.0
Senegal,2019,3545205.0,4569149.0
Senegal,2020,3955077.0,4634728.0
Serbia,2018,2599156.0,4612576.0
Serbia,2019,2584793.0,4677577.0
Serbia,2020,2621361.0,4732709.0
Seychelles,2018,2468.0,1498357.0
Seychelles,2019,2267.0,1487214.0
Seychelles,2020,2250.0,1488421.0
Sierra Leone,2018,1987210.0,1579139.0
Sierra Leone,2019,1185598.0,1659916.0
Sierra Leone,2020,1415406.0,1636863.0
Singapore,2018,1445.0,1400509.0
Singapore,2019,1459.0,1357786.0
Singapore,2020,1378.0,1377467.0
Slovakia,2018,1082920.0,5102077.0
Slovakia,2019,1084690.0,5125145.0
Slovakia,2020,1070380.0,5659481.0
Slovenia,2018,139627.0,6715685.0
Slovenia,2019,140523.0,6581635.0
Slovenia,2020,144593.0,6636970.0
Solomon Islands,2018,95366.0,1485336.0
Solomon Islands,2019,102001.0,1484054.0
Solomon Islands,2020,107859.0,1478191.0
Somalia,2018,593154.0,1415295.0
Somalia,2019,616744.0,1406859.0
Somalia,2020,611722.0,1404563.0
South Africa,2018,5542653.0,9024481.0
South Africa,2019,5437179.0,8954505.0
South Africa,2020,5696301.0,9061628.0
South Sudan,2018,1707552.0,951420.0
South Sudan,2019,1766126.0,975218.0
South Sudan,2020,1820099.0,983948.0
Spain,2018,12674261.0,16336504.0
Spain,2019,12632657.0,16721847.0
Spain,2020,12616600.0,16506191.0
Sri Lanka,2018,2317400.0,3547484.0
Sri Lanka,2019,2314233.0,3548015.0
Sri Lanka,2020,2507432.0,3804810.0
Sudan,2018,20940142.0,3986373.0
Sudan,2019,19810351.0,3958934.0
Sudan,2020,19558382.0,3953620.0
Suriname,2018,68282.0,4456951.0
Suriname,2019,71965.0,4403641.0
Suriname,2020,73084.0,4418054.0
Sweden,2018,1141140.0,11658569.0
Sweden,2019,1190700.0,12246177.0
Sweden,2020,1207140.0,12047466.0
Switzerland,2018,247596.0,13098708.0
Switzerland,2019,245549.0,11899027.0
Switzerland,2020,250312.0,11916359.0
Syrian Arab Republic,2018,3896102.0,7768963.0
Syrian Arab Republic,2019,4503915.0,7339053.0
Syrian Arab Republic,2020,4531058.0,6446428.0
T?rkiye,2018,,13514577.0
T?rkiye,2019,,13335868.0
T?rkiye,2020,,13189207.0
Tajikistan,2018,841670.0,4441655.0
Tajikistan,2019,854717.0,4547093.0
Tajikistan,2020,864629.0,4575569.0
Thailand,2018,21309688.0,7070158.0
Thailand,2019,20617429.0,7006585.0
Thailand,2020,21369861.0,6737341.0
Timor-Leste,2018,154800.0,1254024.0
Timor-Leste,2019,145308.0,1252824.0
Timor-Leste,2020,147249.0,1250064.0
Togo,2018,2375405.0,1080089.0
Togo,2019,2438307.0,1075944.0
Togo,2020,2411681.0,1073775.0
Tokelau,2018,534.0,239821.0
Tokelau,2019,520.0,241687.0
Tokelau,2020,535.0,242978.0
Tonga,2018,19042.0,1498208.0
Tonga,2019,19025.0,1493036.0
Tonga,2020,19055.0,1484087.0
Trinidad and Tobago,2018,36659.0,2161437.0
Trinidad and Tobago,2019,38183.0,2623520.0
Trinidad and Tobago,2020,35611.0,2872167.0
Tunisia,2018,4916997.0,7497865.0
Tunisia,2019,4197015.0,7333963.0
Tunisia,2020,5566549.0,7426136.0
Turkmenistan,2018,1593421.0,3092082.0
Turkmenistan,2019,1731932.0,3098793.0
Turkmenistan,2020,1659493.0,3094453.0
Tuvalu,2018,1820.0,155251.0
Tuvalu,2019,1807.0,155489.0
Tuvalu,2020,1812.0,154984.0
Türkiye,2018,18110360.0,
Türkiye,2019,18118501.0,
Türkiye,2020,18364780.0,
Uganda,2018,6883976.0,1524780.0
Uganda,2019,8748144.0,1528133.0
Uganda,2020,7521933.0,1524344.0
Ukraine,2018,26180004.0,6387852.0
Ukraine,2019,26514703.0,6167184.0
Ukraine,2020,26607975.0,5878280.0
United Arab Emirates,2018,45646.0,7805318.0
United Arab Emirates,2019,48238.0,8815535.0
United Arab Emirates,2020,46540.0,7824135.0
United Kingdom of Great Britain and Northern Ireland,2018,4410232.0,16536035.0
United Kingdom of Great Britain and Northern Ireland,2019,4408100.0,16372056.0
United Kingdom of Great Britain and Northern Ireland,2020,4152105.0,16122987.0
United Republic of Tanzania,2018,15378511.0,3572372.0
United Republic of Tanzania,2019,15208070.0,3581968.0
United Republic of Tanzania,2020,16746035.0,3516730.0
United States of America,2018,101046170.0,15295700.0
United States of America,2019,95151596.0,16329554.0
United States of America,2020,98005999.0,16320917.0
Uruguay,2018,1864431.0,5573783.0
Uruguay,2019,1775746.0,5925014.0
Uruguay,2020,1786642.0,5686833.0
Uzbekistan,2018,3356777.0,10149387.0
Uzbekistan,2019,3351215.0,10123552.0
Uzbekistan,2020,3427966.0,10216266.0
Vanuatu,2018,111490.0,726298.0
Vanuatu,2019,112577.0,727175.0
Vanuatu,2020,105107.0,725782.0
Venezuela (Bolivarian Republic of),2018,1519717.0,7432671.0
Venezuela (Bolivarian Republic of),2019,1546960.0,7201109.0
Venezuela (Bolivarian Republic of),2020,1433664.0,7260350.0
Viet Nam,2018,14022402.0,3613492.0
Viet Nam,2019,13799564.0,3802727.0
Viet Nam,2020,13513742.0,3809070.0
Yemen,2018,805390.0,3438236.0
Yemen,2019,867330.0,3577246.0
Yemen,2020,860774.0,3613082.0
Zambia,2018,2244982.0,2251815.0
Zambia,2019,1858575.0,2365103.0
Zambia,2020,2465292.0,2389874.0
Zimbabwe,2018,2290466.0,3873122.0
Zimbabwe,2019,1238427.0,3847485.0
Zimbabwe,2020,2259630.0,3859657.0
